# http://127.0.0.1:8001/ --workers 20 --loaded-duration-minutes 1 --output-dir app1run20
# {"appUrl":"http://127.0.0.1:8001/","debugLog":false,"loadedDurationMinutes":1.0,"logLevel":"WARN","outputDir":"app1run20","overwriteOutput":false,"receiveQueueSize":50,"recordingPath":"recording.log","workers":20}
session_id,worker_id,iteration,event,timestamp,input_line_number,comment
5,5,0,PLAYBACK_SLEEPBEFORE_END,1739912118781,44,
5,5,0,WS_SEND_START,1739912118781,44,
5,5,0,WS_SEND_END,1739912118781,44,
5,5,0,PLAYBACK_SLEEPBEFORE_START,1739912118781,45,
5,5,0,PLAYBACK_SLEEPBEFORE_END,1739912119418,45,
5,5,0,WS_SEND_START,1739912119418,45,
5,5,0,WS_SEND_END,1739912119418,45,
5,5,0,PLAYBACK_SLEEPBEFORE_START,1739912119418,46,
5,5,0,PLAYBACK_SLEEPBEFORE_END,1739912119420,46,
5,5,0,WS_SEND_START,1739912119420,46,
5,5,0,WS_SEND_END,1739912119420,46,
5,5,0,PLAYBACK_SLEEPBEFORE_START,1739912119420,47,
5,5,0,PLAYBACK_SLEEPBEFORE_END,1739912119421,47,
5,5,0,WS_SEND_START,1739912119421,47,
5,5,0,WS_SEND_END,1739912119421,47,
5,5,0,PLAYBACK_SLEEPBEFORE_START,1739912119421,48,
5,5,0,PLAYBACK_SLEEPBEFORE_END,1739912119869,48,
5,5,0,WS_SEND_START,1739912119869,48,
5,5,0,WS_SEND_END,1739912119869,48,
5,5,0,PLAYBACK_SLEEPBEFORE_START,1739912119869,49,
5,5,0,PLAYBACK_SLEEPBEFORE_END,1739912120766,49,
5,5,0,WS_SEND_START,1739912120767,49,
5,5,0,WS_SEND_END,1739912120767,49,
5,5,0,PLAYBACK_SLEEPBEFORE_START,1739912120767,50,
5,5,0,PLAYBACK_SLEEPBEFORE_END,1739912120768,50,
5,5,0,WS_SEND_START,1739912120768,50,
5,5,0,WS_SEND_END,1739912120768,50,
5,5,0,PLAYBACK_SLEEPBEFORE_START,1739912120768,51,
5,5,0,PLAYBACK_SLEEPBEFORE_END,1739912121098,51,
5,5,0,WS_SEND_START,1739912121098,51,
5,5,0,WS_SEND_END,1739912121098,51,
5,5,0,PLAYBACK_SLEEPBEFORE_START,1739912121098,52,
5,5,0,PLAYBACK_SLEEPBEFORE_END,1739912121219,52,
5,5,0,WS_SEND_START,1739912121219,52,
5,5,0,WS_SEND_END,1739912121219,52,
5,5,0,PLAYBACK_SLEEPBEFORE_START,1739912121219,53,
5,5,0,PLAYBACK_SLEEPBEFORE_END,1739912121616,53,
5,5,0,WS_SEND_START,1739912121616,53,
5,5,0,WS_SEND_END,1739912121616,53,
5,5,0,PLAYBACK_SLEEPBEFORE_START,1739912121616,54,
5,5,0,PLAYBACK_SLEEPBEFORE_END,1739912121852,54,
5,5,0,WS_SEND_START,1739912121852,54,
5,5,0,WS_SEND_END,1739912121852,54,
5,5,0,PLAYBACK_SLEEPBEFORE_START,1739912121852,55,
5,5,0,PLAYBACK_SLEEPBEFORE_END,1739912121853,55,
5,5,0,WS_SEND_START,1739912121853,55,
5,5,0,WS_SEND_END,1739912121853,55,
5,5,0,PLAYBACK_SLEEPBEFORE_START,1739912121853,56,
5,5,0,PLAYBACK_SLEEPBEFORE_END,1739912121854,56,
5,5,0,WS_SEND_START,1739912121854,56,
5,5,0,WS_SEND_END,1739912121854,56,
5,5,0,WS_RECV_START,1739912121854,57,
5,5,0,WS_RECV_END,1739912124981,57,
5,5,0,PLAYBACK_SLEEPBEFORE_START,1739912124981,58,
5,5,0,PLAYBACK_SLEEPBEFORE_END,1739912125572,58,
5,5,0,WS_SEND_START,1739912125572,58,
5,5,0,WS_SEND_END,1739912125572,58,
5,5,0,PLAYBACK_SLEEPBEFORE_START,1739912125572,59,
5,5,0,PLAYBACK_SLEEPBEFORE_END,1739912126076,59,
5,5,0,WS_SEND_START,1739912126076,59,
5,5,0,WS_SEND_END,1739912126076,59,
5,5,0,PLAYBACK_SLEEPBEFORE_START,1739912126076,60,
5,5,0,PLAYBACK_SLEEPBEFORE_END,1739912126488,60,
5,5,0,WS_SEND_START,1739912126488,60,
5,5,0,WS_SEND_END,1739912126488,60,
5,5,0,PLAYBACK_SLEEPBEFORE_START,1739912126489,61,
5,5,0,PLAYBACK_SLEEPBEFORE_END,1739912126491,61,
5,5,0,WS_SEND_START,1739912126491,61,
5,5,0,WS_SEND_END,1739912126491,61,
5,5,0,PLAYBACK_SLEEPBEFORE_START,1739912126491,62,
5,5,0,PLAYBACK_SLEEPBEFORE_END,1739912127039,62,
5,5,0,WS_SEND_START,1739912127039,62,
5,5,0,WS_SEND_END,1739912127039,62,
5,5,0,PLAYBACK_SLEEPBEFORE_START,1739912127039,63,
5,5,0,PLAYBACK_SLEEPBEFORE_END,1739912127041,63,
5,5,0,WS_SEND_START,1739912127041,63,
5,5,0,WS_SEND_END,1739912127042,63,
5,5,0,WS_RECV_START,1739912127042,64,
5,5,0,WS_RECV_END,1739912130906,64,
5,5,0,PLAYBACK_SLEEPBEFORE_START,1739912130906,65,
